Underlying Key,Underlying Symbol,LTP
NSE_EQ|INE288B01029,DEEPAKNTR,2019.9
NSE_EQ|INE111A01025,CONCOR,690.4
NSE_EQ|INE239A01024,NESTLEIND,2328.2
NSE_EQ|INE101A01026,M&M,3021.5
NSE_EQ|INE092A01019,TATACHEM,845.45
NSE_EQ|INE022Q01020,IEX,195.14
NSE_EQ|INE721A01047,SHRIRAMFIN,628.85
NSE_EQ|INE053F01010,IRFC,125.01
NSE_EQ|INE245A01021,TATAPOWER,389.1
NSE_EQ|INE027H01010,MAXHEALTH,1131.7
NSE_EQ|INE002L01015,SJVN,94.13
NSE_EQ|INE299U01018,CROMPTON,335.1
NSE_EQ|INE002S01010,MGL,1404.5
NSE_EQ|INE262H01021,PERSISTENT,5533.0
NSE_EQ|INE347G01014,PETRONET,314.9
NSE_EQ|INE237A01028,KOTAKBANK,2084.9
NSE_EQ|INE584A01023,NMDC,65.95
NSE_EQ|INE298A01020,CUMMINSIND,2940.2
NSE_EQ|INE158A01026,HEROMOTOCO,3767.6
NSE_EQ|INE020B01018,RECLTD,423.3
NSE_EQ|INE733E01010,NTPC,348.6
NSE_EQ|INE04I401011,KPITTECH,1258.6
NSE_EQ|INE073K01018,SONACOMS,508.6
NSE_EQ|INE134E01011,PFC,410.4
NSE_EQ|INE009A01021,INFY,1508.6
NSE_INDEX|Nifty Next 50,NIFTYNXT50,65406.85
NSE_COM|122514,SILVERM,0.0
NSE_EQ|INE821I01022,IRB,45.67
NSE_EQ|INE323A01026,BOSCHLTD,30365.0
NSE_EQ|INE388Y01029,NYKAA,196.27
NSE_EQ|INE947Q01028,LAURUSLABS,617.8
NSE_EQ|INE203G01027,IGL,206.34
NSE_EQ|INE331A01037,RAMCOCEM,946.65
NSE_EQ|INE848E01016,NHPC,84.63
NSE_EQ|INE749A01030,JINDALSTEL,903.85
NSE_EQ|INE042A01014,ESCORTS,3249.9
NSE_EQ|INE115A01026,LICHSGFIN,608.4
NSE_EQ|INE335Y01020,IRCTC,765.45
NSE_EQ|INE685A01028,TORNTPHARM,3275.0
MCX_FO|454818,GOLD,0.0
NSE_EQ|INE982J01020,PAYTM,866.0
NSE_EQ|INE702C01027,APLAPOLLO,1614.1
NSE_COM|122168,COPPER,0.0
NSE_EQ|INE140A01024,PEL,1008.25
NSE_EQ|INE761H01022,PAGEIND,46085.0
NSE_EQ|INE280A01028,TITAN,3321.8
NSE_EQ|INE438A01022,APOLLOTYRE,487.8
NSE_EQ|INE437A01024,APOLLOHOSP,6974.0
NSE_EQ|INE160A01022,PNB,99.4
NSE_EQ|INE151A01013,TATACOMM,1591.1
NSE_EQ|INE155A01022,TATAMOTORS,661.55
NSE_EQ|INE619A01035,PATANJALI,1873.3
NSE_EQ|INE154A01025,ITC,436.95
NSE_EQ|INE745G01035,MCX,6265.0
NSE_EQ|INE081A01020,TATASTEEL,142.08
NSE_EQ|INE774D01024,M&MFIN,264.5
NSE_EQ|INE670A01012,TATAELXSI,5817.0
NSE_EQ|INE572E01012,PNBHOUSING,1057.4
NSE_EQ|INE196A01026,MARICO,722.65
NSE_EQ|INE216A01030,BRITANNIA,5359.0
NSE_EQ|INE548A01028,HFCL,80.59
NSE_EQ|INE585B01010,MARUTI,12449.0
NSE_EQ|INE522D01027,MANAPPURAM,229.97
NSE_EQ|INE202E01016,IREDA,168.75
NSE_EQ|INE752E01010,POWERGRID,308.2
NSE_EQ|INE811K01011,PRESTIGE,1385.5
NSE_COM|122181,ZINC,16.95
NSE_EQ|INE531E01026,HINDCOPPER,217.39
