underlying_symbol,underlying_key,underlying_type
SENSEX,BSE_INDEX|SENSEX,INDEX
ANGELONE,NSE_EQ|INE732I01013,EQUITY
RECLTD,NSE_EQ|INE020B01018,EQUITY
MAXHEALTH,NSE_EQ|INE027H01010,EQUITY
AMBUJACEM,NSE_EQ|INE079A01024,EQUITY
EXIDEIND,NSE_EQ|INE302A01020,EQUITY
PIIND,NSE_EQ|INE603J01030,EQUITY
SYNGENE,NSE_EQ|INE398R01022,EQUITY
ZINC,MCX_FO|446494,COM
ZINC,MCX_FO|448161,COM
SILVER,MCX_FO|451666,COM
CRUDEOIL,MCX_FO|443449,COM
LUPIN,NSE_EQ|INE326A01037,EQUITY
KOTAKBANK,NSE_EQ|INE237A01028,EQUITY
TECHM,NSE_EQ|INE669C01036,EQUITY
CRUDEOILM,MCX_FO|445826,COM
BOSCHLTD,NSE_EQ|INE323A01026,EQUITY
TATACHEM,NSE_EQ|INE092A01019,EQUITY
ZINC,MCX_FO|444535,COM
BIOCON,NSE_EQ|INE376G01013,EQUITY
RELIANCE,NSE_EQ|INE002A01018,EQUITY
M&M,NSE_EQ|INE101A01026,EQUITY
CUMMINSIND,NSE_EQ|INE298A01020,EQUITY
TATAPOWER,NSE_EQ|INE245A01021,EQUITY
PERSISTENT,NSE_EQ|INE262H01021,EQUITY
HFCL,NSE_EQ|INE548A01028,EQUITY
PFC,NSE_EQ|INE134E01011,EQUITY
ADANIENT,NSE_EQ|INE423A01024,EQUITY
MCX,NSE_EQ|INE745G01035,EQUITY
TATACOMM,NSE_EQ|INE151A01013,EQUITY
PHOENIXLTD,NSE_EQ|INE211B01039,EQUITY
PETRONET,NSE_EQ|INE347G01014,EQUITY
JINDALSTEL,NSE_EQ|INE749A01030,EQUITY
HEROMOTOCO,NSE_EQ|INE158A01026,EQUITY
KPITTECH,NSE_EQ|INE04I401011,EQUITY
TATASTEEL,NSE_EQ|INE081A01020,EQUITY
JIOFIN,NSE_EQ|INE758E01017,EQUITY
SILVERM,MCX_FO|439487,COM
SONACOMS,NSE_EQ|INE073K01018,EQUITY
BPCL,NSE_EQ|INE029A01011,EQUITY
COPPER,MCX_FO|446488,COM
